stem,slice,transform,dilate_px,decision,timestamp
2022_03_21_11_03_05_20,0,transpose,2,no_infection,1762343404
2022_03_21_11_03_05_26,0,transpose,2,approve,1762343416
2022_03_21_11_03_05_34,0,transpose,2,approve,1762343418
2022_03_21_11_03_05_41,0,transpose,2,approve,1762343419
2022_03_21_11_03_05_50,0,transpose,2,approve,1762343419
2022_03_21_11_03_05_58,0,transpose,2,approve,1762343420
2022_03_21_11_03_05_66,0,transpose,2,no_infection,1762343421
2022_03_21_11_03_05_75,0,transpose,2,approve,1762343422
2022_03_21_11_03_05_83,0,transpose,2,approve,1762343423
2022_03_21_11_03_05_91,0,transpose,2,approve,1762343424
2022_03_21_11_03_06_00,0,transpose,2,approve,1762343426
2022_03_21_11_03_06_08,0,transpose,2,approve,1762343429
2022_03_21_11_03_06_16,0,transpose,2,approve,1762343432
2022_03_21_11_03_06_25,0,transpose,2,approve,1762343433
2022_03_21_11_03_06_33,0,transpose,2,approve,1762343433
2022_03_21_11_03_06_42,0,transpose,2,approve,1762343434
2022_03_21_11_03_06_50,0,transpose,2,approve,1762343436
2022_03_21_11_03_06_59,0,transpose,2,approve,1762343438
2022_03_21_11_03_06_67,0,transpose,2,approve,1762343439
2022_03_21_11_03_06_75,0,transpose,2,approve,1762343439
2022_03_21_11_03_06_84,0,transpose,2,approve,1762343441
2022_03_21_11_03_06_92,0,transpose,2,approve,1762343442
2022_03_21_11_03_07_08,0,transpose,2,approve,1762343443
2022_03_21_11_03_07_22,0,transpose,2,approve,1762343445
2022_03_21_11_03_07_28,0,transpose,2,approve,1762343446
2022_03_21_11_03_07_35,0,transpose,2,approve,1762343447
2022_03_21_11_03_07_42,0,transpose,2,approve,1762343447
2022_03_21_11_03_07_51,0,transpose,2,approve,1762343448
2022_03_21_11_03_07_59,0,transpose,2,approve,1762343449
2022_03_21_11_03_07_67,0,transpose,2,approve,1762343450
2022_03_21_11_03_07_76,0,transpose,2,approve,1762343450
2022_03_21_11_03_07_85,0,transpose,2,approve,1762343451
2022_03_21_11_03_08_10,0,transpose,2,approve,1762343452
2022_03_21_11_03_08_22,0,transpose,2,approve,1762343452
2022_03_21_11_03_08_29,0,transpose,2,approve,1762343453
2022_03_21_11_03_08_36,0,transpose,2,approve,1762343453
2022_03_21_11_03_08_43,0,transpose,2,approve,1762343454
2022_03_21_11_03_08_50,0,transpose,2,approve,1762343454
2022_03_21_11_03_08_67,0,transpose,2,approve,1762343455
2022_03_21_11_03_08_92,0,transpose,2,approve,1762343456
2022_03_21_11_03_09_01,0,transpose,2,approve,1762343462
2022_03_21_11_03_09_09,0,transpose,2,approve,1762343464
2022_03_21_11_03_09_17,0,transpose,2,approve,1762343467
2022_03_21_11_03_09_35,0,transpose,2,approve,1762343468
2022_03_21_11_03_09_43,0,transpose,2,approve,1762343469
2022_03_21_11_03_09_51,0,transpose,2,approve,1762343469
2022_03_21_11_03_09_60,0,transpose,2,approve,1762343471
2022_03_21_11_03_09_68,0,transpose,2,approve,1762343505
2022_03_21_11_03_09_85,0,transpose,2,approve,1762343513
2022_03_21_11_03_09_93,0,transpose,2,approve,1762343518
2022_03_21_11_03_10_01,0,transpose,2,approve,1762343525
2022_03_21_11_03_10_10,0,transpose,2,approve,1762343525
2022_03_21_11_03_10_18,0,transpose,2,approve,1762343527
2022_03_21_11_03_10_26,0,transpose,2,approve,1762343527
2022_03_21_11_03_10_35,0,transpose,2,approve,1762343528
2022_03_21_11_03_10_43,0,transpose,2,approve,1762343528
2022_03_21_11_03_10_58,0,transpose,2,approve,1762343530
2022_03_21_11_03_10_65,0,transpose,2,approve,1762343531
2022_03_21_11_03_10_71,0,transpose,2,approve,1762343536
2022_03_21_11_03_10_78,0,transpose,2,approve,1762343536
2022_03_21_11_03_10_85,0,transpose,2,approve,1762343537
2022_03_21_11_03_11_01,0,transpose,2,approve,1762343542
2022_03_21_11_03_11_09,0,transpose,2,approve,1762343545
2022_03_21_11_03_11_18,0,transpose,2,approve,1762343546
2022_03_21_11_03_11_35,0,transpose,2,no_infection,1762343548
2022_03_21_11_03_11_51,0,transpose,2,approve,1762343549
2022_03_21_11_03_11_60,0,transpose,2,approve,1762343550
2022_03_21_11_03_11_68,0,transpose,2,approve,1762343550
2022_03_21_11_03_11_77,0,transpose,2,approve,1762343551
2022_03_21_11_03_11_85,0,transpose,2,approve,1762343552
2022_03_21_11_03_11_93,0,transpose,2,approve,1762343552
2022_03_21_11_03_12_02,0,transpose,2,approve,1762343553
2022_03_21_11_03_12_11,0,transpose,2,approve,1762343559
2022_03_21_11_03_12_19,0,transpose,2,approve,1762343560
2022_03_21_11_03_12_27,0,transpose,2,approve,1762343560
2022_03_21_11_03_12_36,0,transpose,2,approve,1762343561
2022_03_21_11_03_12_44,0,transpose,2,approve,1762343562
2022_03_21_11_03_12_52,0,transpose,2,approve,1762343565
2022_03_21_11_03_12_74,0,transpose,2,approve,1762343567
2022_03_21_11_03_12_80,0,transpose,2,approve,1762343567
2022_03_21_11_03_12_88,0,transpose,2,approve,1762343569
2022_03_21_11_03_12_97,0,transpose,2,approve,1762343571
2022_03_21_11_03_13_05,0,transpose,2,approve,1762343574
2022_03_21_11_03_13_13,0,transpose,2,approve,1762343575
2022_03_21_11_03_13_22,0,transpose,2,approve,1762343576
2022_03_21_11_03_13_30,0,transpose,2,approve,1762343577
2022_03_21_11_03_13_47,0,transpose,2,approve,1762343577
2022_03_21_11_03_13_55,0,transpose,2,approve,1762343578
2022_03_21_11_03_13_63,0,transpose,2,approve,1762343579
2022_03_21_11_03_13_70,0,transpose,2,approve,1762343579
2022_03_21_11_03_13_79,0,transpose,2,approve,1762343580
2022_03_21_11_03_15_30,0,transpose,2,approve,1762343581
2022_03_21_11_03_21_99,0,transpose,2,approve,1762343581
2022_03_21_11_03_23_67,0,transpose,2,approve,1762343582
2022_03_21_11_03_25_34,0,transpose,2,approve,1762343582
2022_03_21_11_03_27_01,0,transpose,2,approve,1762343583
2022_03_21_11_03_28_69,0,transpose,2,approve,1762343583
2022_03_21_11_03_30_36,0,transpose,2,approve,1762343584
2022_03_21_11_03_32_03,0,transpose,2,approve,1762343584
2022_03_21_11_03_33_71,0,transpose,2,approve,1762343585
2022_03_21_11_03_35_38,0,transpose,2,approve,1762343585
2022_03_21_11_03_37_06,0,transpose,2,approve,1762343586
2022_03_21_11_03_38_73,0,transpose,2,approve,1762343587
2022_03_21_11_03_40_40,0,transpose,2,approve,1762343587
2022_03_21_11_03_42_08,0,transpose,2,approve,1762343589
2022_03_21_11_03_43_75,0,transpose,2,approve,1762343589
2022_03_21_11_03_45_42,0,transpose,2,approve,1762343590
2022_03_21_11_03_48_77,0,transpose,2,approve,1762343591
2022_03_21_11_03_50_44,0,transpose,2,approve,1762343592
2022_03_21_11_03_52_12,0,transpose,2,approve,1762343592
2022_03_21_11_03_53_80,0,transpose,2,approve,1762343593
2022_03_21_11_03_57_14,0,transpose,2,approve,1762343593
2022_03_21_11_03_58_82,0,transpose,2,approve,1762343594
2022_03_21_11_04_00_49,0,transpose,2,approve,1762343594
2022_03_21_11_04_02_16,0,transpose,2,approve,1762343595
2022_03_21_11_04_03_83,0,transpose,2,approve,1762343595
2022_03_21_11_04_07_18,0,transpose,2,approve,1762343596
2022_03_21_11_04_08_86,0,transpose,2,approve,1762343596
2022_03_21_11_04_12_21,0,transpose,2,approve,1762343597
2022_03_21_11_04_13_88,0,transpose,2,approve,1762343597
2022_03_21_11_04_15_55,0,transpose,2,approve,1762343598
2022_03_21_11_04_17_23,0,transpose,2,approve,1762343604
2022_03_21_11_04_18_90,0,transpose,2,approve,1762343605
2022_03_21_11_04_20_57,0,transpose,2,approve,1762343606
2022_03_21_11_04_22_25,0,transpose,2,approve,1762343609
2022_03_21_11_04_23_92,0,transpose,2,approve,1762343610
2022_03_21_11_04_27_27,0,transpose,2,approve,1762343610
2022_03_21_11_04_28_94,0,transpose,2,approve,1762343611
2022_03_21_11_04_30_62,0,transpose,2,approve,1762343612
2022_03_21_11_04_33_96,0,transpose,2,no_infection,1762343613
2022_03_21_11_04_35_64,0,transpose,2,approve,1762343614
2022_03_21_11_04_37_31,0,transpose,2,approve,1762343616
2022_03_21_11_04_38_98,0,transpose,2,approve,1762343617
2022_03_21_11_04_40_66,0,transpose,2,approve,1762343618
2022_03_21_11_04_42_34,0,transpose,2,approve,1762343619
2022_03_21_11_04_44_01,0,transpose,2,no_infection,1762343620
2022_03_21_11_04_45_68,0,transpose,2,approve,1762343621
2022_03_21_11_04_47_35,0,transpose,2,no_infection,1762343622
2022_03_21_11_04_49_03,0,transpose,2,approve,1762343623
2022_03_21_11_04_50_70,0,transpose,2,approve,1762343623
2022_03_21_11_04_54_05,0,transpose,2,approve,1762343624
2022_03_21_11_04_55_72,0,transpose,2,approve,1762343625
2022_03_21_11_04_57_40,0,transpose,2,approve,1762343626
2022_03_21_11_04_59_07,0,transpose,2,approve,1762343626
2022_03_21_11_05_00_75,0,transpose,2,no_infection,1762343627
2022_03_21_11_05_02_42,0,transpose,2,approve,1762343628
2022_03_21_11_05_05_77,0,transpose,2,no_infection,1762343630
