split,image,cell_id,bbox,frac_on_cell,label,path,best_slice,best_transform,align_score,nii_status,relabel,frac_recalc,inter_px
train,2022_03_21_11_02_58_14,9,"(260, 1263, 325, 1328)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0009.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,10,"(516, 712, 569, 769)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0010.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,11,"(587, 1499, 642, 1566)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0011.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,12,"(635, 379, 699, 444)",0.5484867201976529,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_14_cell0012.png,0,transpose,1776,ok,1,0.5711538461538461,2376
train,2022_03_21_11_02_58_14,13,"(646, 869, 701, 921)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0013.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,14,"(660, 1879, 722, 1948)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0014.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,15,"(725, 1702, 806, 1800)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0015.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,16,"(814, 1130, 879, 1197)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0016.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,17,"(828, 559, 886, 606)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0017.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,18,"(839, 338, 907, 409)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0018.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,19,"(877, 1424, 944, 1484)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0019.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_14,20,"(1063, 1412, 1088, 1467)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_14_cell0020.png,0,transpose,1776,ok,0,0.0,0
train,2022_03_21_11_02_58_22,1,"(0, 1874, 43, 1949)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0001.png,0,id,60730,ok,1,1.0,3225
train,2022_03_21_11_02_58_22,2,"(250, 492, 318, 542)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0002.png,0,id,60730,ok,1,1.0,3400
train,2022_03_21_11_02_58_22,3,"(274, 1855, 354, 1919)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0003.png,0,id,60730,ok,1,1.0,5120
train,2022_03_21_11_02_58_22,4,"(283, 526, 347, 586)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0004.png,0,id,60730,ok,1,1.0,3840
train,2022_03_21_11_02_58_22,5,"(412, 324, 420, 332)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0005.png,0,id,60730,ok,1,1.0,64
train,2022_03_21_11_02_58_22,6,"(524, 1592, 639, 1690)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0006.png,0,id,60730,ok,1,1.0,11270
train,2022_03_21_11_02_58_22,7,"(569, 693, 676, 833)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0007.png,0,id,60730,ok,1,1.0,14980
train,2022_03_21_11_02_58_22,8,"(584, 0, 659, 54)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0008.png,0,id,60730,ok,1,1.0,4050
train,2022_03_21_11_02_58_22,9,"(714, 98, 779, 172)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0009.png,0,id,60730,ok,1,1.0,4810
train,2022_03_21_11_02_58_22,10,"(790, 711, 857, 766)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0010.png,0,id,60730,ok,1,1.0,3685
train,2022_03_21_11_02_58_22,11,"(795, 1673, 861, 1737)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0011.png,0,id,60730,ok,1,1.0,4224
train,2022_03_21_11_02_58_22,12,"(812, 1266, 872, 1333)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0012.png,0,id,60730,ok,1,1.0,4020
train,2022_03_21_11_02_58_22,13,"(818, 1928, 883, 1993)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0013.png,0,id,60730,ok,1,1.0,4225
train,2022_03_21_11_02_58_22,14,"(867, 1810, 930, 1865)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0014.png,0,id,60730,ok,1,1.0,3465
train,2022_03_21_11_02_58_22,15,"(906, 280, 975, 344)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0015.png,0,id,60730,ok,1,1.0,4416
train,2022_03_21_11_02_58_22,16,"(1003, 459, 1067, 513)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_22_cell0016.png,0,id,60730,ok,1,1.0,3456
train,2022_03_21_11_02_58_31,1,"(114, 679, 190, 749)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0001.png,0,id,46052,ok,1,1.0,5320
train,2022_03_21_11_02_58_31,2,"(184, 1102, 252, 1148)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0002.png,0,id,46052,ok,1,1.0,3128
train,2022_03_21_11_02_58_31,3,"(257, 1905, 326, 1961)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0003.png,0,id,46052,ok,1,1.0,3864
train,2022_03_21_11_02_58_31,4,"(270, 1876, 327, 1917)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0004.png,0,id,46052,ok,1,1.0,2337
train,2022_03_21_11_02_58_31,5,"(350, 1226, 433, 1269)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0005.png,0,id,46052,ok,1,1.0,3569
train,2022_03_21_11_02_58_31,6,"(468, 244, 535, 320)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0006.png,0,id,46052,ok,1,1.0,5092
train,2022_03_21_11_02_58_31,7,"(619, 2011, 687, 2048)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0007.png,0,id,46052,ok,1,1.0,2516
train,2022_03_21_11_02_58_31,8,"(758, 1152, 829, 1214)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0008.png,0,id,46052,ok,1,1.0,4402
train,2022_03_21_11_02_58_31,9,"(816, 1051, 913, 1127)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0009.png,0,id,46052,ok,1,1.0,7372
train,2022_03_21_11_02_58_31,10,"(832, 343, 879, 402)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0010.png,0,id,46052,ok,1,1.0,2773
train,2022_03_21_11_02_58_31,11,"(851, 1440, 932, 1500)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0011.png,0,id,46052,ok,1,1.0,4860
train,2022_03_21_11_02_58_31,12,"(945, 1179, 1021, 1239)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0012.png,0,id,46052,ok,1,1.0,4560
train,2022_03_21_11_02_58_31,13,"(1013, 1026, 1088, 1074)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0013.png,0,id,46052,ok,1,1.0,3600
train,2022_03_21_11_02_58_31,14,"(1031, 0, 1087, 75)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0014.png,0,id,46052,ok,1,1.0,4200
train,2022_03_21_11_02_58_31,15,"(1038, 1799, 1087, 1861)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_31_cell0015.png,0,id,46052,ok,1,1.0,3038
train,2022_03_21_11_02_58_39,1,"(0, 366, 54, 434)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0001.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,2,"(1, 492, 64, 549)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0002.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,3,"(5, 1061, 63, 1113)",0.7051174496644296,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_39_cell0003.png,0,transpose,5175,ok,1,0.7410477453580901,2235
train,2022_03_21_11_02_58_39,4,"(45, 125, 97, 176)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0004.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,5,"(158, 1826, 223, 1897)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0005.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,6,"(271, 1068, 360, 1150)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0006.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,7,"(368, 460, 476, 557)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0007.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,8,"(370, 127, 379, 136)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0008.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,9,"(415, 98, 425, 108)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0009.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,10,"(465, 832, 530, 887)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0010.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,11,"(586, 0, 645, 54)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0011.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,12,"(598, 73, 659, 132)",0.6170808540427022,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_39_cell0012.png,0,transpose,5175,ok,1,0.6518477354820783,2346
train,2022_03_21_11_02_58_39,13,"(618, 500, 672, 566)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0013.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,14,"(619, 2011, 688, 2047)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0014.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,15,"(627, 1131, 635, 1140)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0015.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,16,"(662, 838, 727, 884)",0.7276166456494325,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_39_cell0016.png,0,transpose,5175,ok,1,0.7357859531772575,2200
train,2022_03_21_11_02_58_39,17,"(762, 1391, 825, 1449)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0017.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,18,"(809, 1986, 863, 2044)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0018.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,19,"(823, 1763, 883, 1831)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0019.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,20,"(902, 403, 965, 471)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0020.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,21,"(1013, 1391, 1080, 1446)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0021.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,22,"(1039, 1, 1084, 40)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0022.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,23,"(1055, 790, 1080, 828)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0023.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_39,24,"(1057, 111, 1088, 173)",0.0,0,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\uninfected\2022_03_21_11_02_58_39_cell0024.png,0,transpose,5175,ok,0,0.0,0
train,2022_03_21_11_02_58_47,1,"(99, 611, 180, 675)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_47_cell0001.png,0,id,54722,ok,1,1.0,5184
train,2022_03_21_11_02_58_47,2,"(103, 689, 187, 797)",1.0,1,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\3-Datasets\img-lcm\img_dir_annotated\train\infected\2022_03_21_11_02_58_47_cell0002.png,0,id,54722,ok,1,1.0,9072
