image,slice,transform,score,nii_status
2022_03_21_11_03_02_17,0,transpose,9980,ok
2022_03_21_11_03_02_31,0,transpose,7008,ok
2022_03_21_11_03_02_39,0,transpose,7873,ok
2022_03_21_11_03_02_47,0,transpose,12391,ok
2022_03_21_11_03_02_56,0,transpose,1359,ok
2022_03_21_11_03_02_72,0,transpose,14802,ok
2022_03_21_11_03_02_81,0,transpose,5194,ok
2022_03_21_11_03_02_89,0,transpose,2438,ok
2022_03_21_11_03_02_97,0,transpose,4491,ok
2022_03_21_11_03_03_06,0,transpose,2139,ok
2022_03_21_11_03_03_14,0,transpose,4883,ok
2022_03_21_11_03_03_23,0,transpose,5541,ok
2022_03_21_11_03_03_31,0,transpose,5296,ok
2022_03_21_11_03_03_40,0,transpose,4585,ok
2022_03_21_11_03_03_48,0,transpose,1535,ok
2022_03_21_11_03_03_56,0,transpose,4483,ok
2022_03_21_11_03_03_65,0,transpose,12267,ok
2022_03_21_11_03_03_73,0,transpose,1518,ok
2022_03_21_11_03_03_82,0,transpose,5137,ok
2022_03_21_11_03_03_90,0,transpose,4040,ok
2022_03_21_11_03_04_05,0,transpose,4914,ok
2022_03_21_11_03_04_13,0,transpose,2618,ok
2022_03_21_11_03_04_19,0,transpose,4906,ok
2022_03_21_11_03_04_26,0,transpose,9090,ok
2022_03_21_11_03_04_33,0,transpose,1883,ok
2022_03_21_11_03_04_46,0,transpose,8492,ok
2022_03_21_11_03_04_52,0,transpose,11638,ok
2022_03_21_11_03_04_60,0,transpose,5431,ok
2022_03_21_11_03_04_73,0,transpose,3808,ok
2022_03_21_11_03_04_79,0,transpose,6914,ok
2022_03_21_11_03_04_93,0,transpose,4196,ok
2022_03_21_11_03_05_06,0,transpose,6721,ok
2022_03_21_11_03_05_20,0,id,82138,ok
2022_03_21_11_03_05_26,0,transpose,2203,ok
2022_03_21_11_03_05_34,0,transpose,5015,ok
2022_03_21_11_03_05_41,0,transpose,6087,ok
2022_03_21_11_03_05_50,0,transpose,3498,ok
2022_03_21_11_03_05_58,0,transpose,2708,ok
2022_03_21_11_03_05_66,0,id,48146,ok
2022_03_21_11_03_05_75,0,transpose,2659,ok
2022_03_21_11_03_05_83,0,transpose,845,ok
2022_03_21_11_03_05_91,0,transpose,5098,ok
2022_03_21_11_03_06_00,0,transpose,5307,ok
2022_03_21_11_03_06_08,0,transpose,15371,ok
2022_03_21_11_03_06_16,0,transpose,5510,ok
2022_03_21_11_03_06_25,0,transpose,5899,ok
2022_03_21_11_03_06_33,0,transpose,2036,ok
2022_03_21_11_03_06_42,0,transpose,7255,ok
2022_03_21_11_03_06_50,0,transpose,6373,ok
2022_03_21_11_03_06_59,0,transpose,9067,ok
2022_03_21_11_03_06_67,0,transpose,8591,ok
2022_03_21_11_03_06_75,0,transpose,9268,ok
2022_03_21_11_03_06_84,0,transpose,9452,ok
2022_03_21_11_03_06_92,0,transpose,1719,ok
2022_03_21_11_03_07_08,0,transpose,7560,ok
2022_03_21_11_03_07_22,0,transpose,13738,ok
2022_03_21_11_03_07_28,0,transpose,2027,ok
2022_03_21_11_03_07_35,0,transpose,8294,ok
2022_03_21_11_03_07_42,0,transpose,5893,ok
2022_03_21_11_03_07_51,0,transpose,6402,ok
2022_03_21_11_03_07_59,0,transpose,10506,ok
2022_03_21_11_03_07_67,0,transpose,2046,ok
2022_03_21_11_03_07_76,0,transpose,7625,ok
2022_03_21_11_03_07_85,0,transpose,5577,ok
2022_03_21_11_03_08_10,0,transpose,4809,ok
2022_03_21_11_03_08_22,0,transpose,4527,ok
2022_03_21_11_03_08_29,0,transpose,4478,ok
2022_03_21_11_03_08_36,0,transpose,9222,ok
2022_03_21_11_03_08_43,0,transpose,4774,ok
2022_03_21_11_03_08_50,0,transpose,6702,ok
2022_03_21_11_03_08_67,0,transpose,3717,ok
2022_03_21_11_03_08_92,0,transpose,6637,ok
2022_03_21_11_03_09_01,0,transpose,12671,ok
2022_03_21_11_03_09_09,0,transpose,5361,ok
2022_03_21_11_03_09_17,0,transpose,8177,ok
2022_03_21_11_03_09_35,0,transpose,5968,ok
2022_03_21_11_03_09_43,0,transpose,5373,ok
2022_03_21_11_03_09_51,0,transpose,5733,ok
2022_03_21_11_03_09_60,0,transpose,7974,ok
2022_03_21_11_03_09_68,0,transpose,9706,ok
2022_03_21_11_03_09_85,0,transpose,7619,ok
2022_03_21_11_03_09_93,0,transpose,2875,ok
2022_03_21_11_03_10_01,0,transpose,2707,ok
2022_03_21_11_03_10_10,0,transpose,2160,ok
2022_03_21_11_03_10_18,0,id,2370,ok
2022_03_21_11_03_10_26,0,transpose,7326,ok
2022_03_21_11_03_10_35,0,transpose,1112,ok
2022_03_21_11_03_10_43,0,transpose,4251,ok
2022_03_21_11_03_10_58,0,transpose,4953,ok
2022_03_21_11_03_10_65,0,transpose,9923,ok
2022_03_21_11_03_10_71,0,transpose,6188,ok
2022_03_21_11_03_10_78,0,transpose,4957,ok
2022_03_21_11_03_10_85,0,transpose,2716,ok
2022_03_21_11_03_11_01,0,transpose,3829,ok
2022_03_21_11_03_11_09,0,transpose,1657,ok
2022_03_21_11_03_11_18,0,transpose,6500,ok
2022_03_21_11_03_11_35,0,id,35122,ok
2022_03_21_11_03_11_51,0,transpose,4563,ok
2022_03_21_11_03_11_60,0,transpose,7405,ok
2022_03_21_11_03_11_68,0,transpose,8612,ok
2022_03_21_11_03_11_77,0,transpose,2926,ok
2022_03_21_11_03_11_85,0,transpose,3667,ok
2022_03_21_11_03_11_93,0,transpose,6281,ok
2022_03_21_11_03_12_02,0,transpose,6179,ok
2022_03_21_11_03_12_11,0,transpose,7023,ok
2022_03_21_11_03_12_19,0,transpose,5117,ok
2022_03_21_11_03_12_27,0,transpose,6883,ok
2022_03_21_11_03_12_36,0,transpose,6325,ok
2022_03_21_11_03_12_44,0,transpose,12179,ok
2022_03_21_11_03_12_52,0,transpose,5271,ok
2022_03_21_11_03_12_74,0,transpose,4082,ok
2022_03_21_11_03_12_80,0,transpose,9136,ok
2022_03_21_11_03_12_88,0,transpose,8410,ok
2022_03_21_11_03_12_97,0,transpose,11736,ok
2022_03_21_11_03_13_05,0,transpose,3597,ok
2022_03_21_11_03_13_13,0,transpose,9094,ok
2022_03_21_11_03_13_22,0,transpose,11450,ok
2022_03_21_11_03_13_30,0,transpose,7415,ok
2022_03_21_11_03_13_47,0,transpose,5017,ok
2022_03_21_11_03_13_55,0,transpose,9538,ok
2022_03_21_11_03_13_63,0,transpose,13642,ok
2022_03_21_11_03_13_70,0,transpose,5007,ok
2022_03_21_11_03_13_79,0,transpose,6017,ok
2022_03_21_11_03_15_30,0,transpose,9045,ok
2022_03_21_11_03_21_99,0,transpose,5053,ok
2022_03_21_11_03_23_67,0,transpose,6140,ok
2022_03_21_11_03_25_34,0,transpose,4696,ok
2022_03_21_11_03_27_01,0,transpose,10141,ok
2022_03_21_11_03_28_69,0,transpose,8496,ok
2022_03_21_11_03_30_36,0,transpose,11401,ok
2022_03_21_11_03_32_03,0,transpose,2974,ok
2022_03_21_11_03_33_71,0,transpose,4975,ok
2022_03_21_11_03_35_38,0,transpose,8241,ok
2022_03_21_11_03_37_06,0,transpose,8414,ok
2022_03_21_11_03_38_73,0,transpose,5700,ok
2022_03_21_11_03_40_40,0,id,0,ok
2022_03_21_11_03_42_08,0,transpose,7038,ok
2022_03_21_11_03_43_75,0,transpose,9463,ok
2022_03_21_11_03_45_42,0,transpose,4637,ok
2022_03_21_11_03_48_77,0,transpose,3681,ok
2022_03_21_11_03_50_44,0,transpose,1660,ok
2022_03_21_11_03_52_12,0,transpose,6445,ok
2022_03_21_11_03_53_80,0,transpose,1920,ok
2022_03_21_11_03_57_14,0,transpose,2064,ok
2022_03_21_11_03_58_82,0,transpose,4956,ok
2022_03_21_11_04_00_49,0,transpose,1998,ok
2022_03_21_11_04_02_16,0,transpose,5295,ok
2022_03_21_11_04_03_83,0,transpose,6658,ok
2022_03_21_11_04_07_18,0,transpose,4782,ok
2022_03_21_11_04_08_86,0,transpose,2605,ok
2022_03_21_11_04_12_21,0,transpose,7121,ok
2022_03_21_11_04_13_88,0,transpose,6169,ok
2022_03_21_11_04_15_55,0,id,0,empty
2022_03_21_11_04_17_23,0,transpose,4621,ok
2022_03_21_11_04_18_90,0,transpose,6711,ok
2022_03_21_11_04_20_57,0,transpose,2820,ok
2022_03_21_11_04_22_25,0,transpose,3902,ok
2022_03_21_11_04_23_92,0,transpose,6575,ok
2022_03_21_11_04_27_27,0,transpose,4399,ok
2022_03_21_11_04_28_94,0,transpose,7332,ok
2022_03_21_11_04_30_62,0,transpose,3191,ok
2022_03_21_11_04_33_96,0,id,0,empty
2022_03_21_11_04_35_64,0,transpose,2422,ok
2022_03_21_11_04_37_31,0,transpose,8562,ok
2022_03_21_11_04_38_98,0,transpose,2249,ok
2022_03_21_11_04_40_66,0,transpose,2949,ok
2022_03_21_11_04_42_34,0,transpose,2910,ok
2022_03_21_11_04_44_01,0,id,0,empty
2022_03_21_11_04_45_68,0,transpose,6199,ok
2022_03_21_11_04_47_35,0,id,0,empty
2022_03_21_11_04_49_03,0,transpose,3054,ok
2022_03_21_11_04_50_70,0,transpose,6171,ok
2022_03_21_11_04_54_05,0,transpose,7324,ok
2022_03_21_11_04_55_72,0,rot90+fliplr,44,ok
2022_03_21_11_04_57_40,0,transpose,4120,ok
2022_03_21_11_04_59_07,0,transpose,3525,ok
2022_03_21_11_05_00_75,0,id,0,empty
2022_03_21_11_05_02_42,0,transpose,1732,ok
2022_03_21_11_05_05_77,0,id,0,empty
