image,slice,transform,score,nii_status
2022_03_21_11_03_05_41,-1,NA,0,failed
2022_03_21_11_03_05_50,-1,NA,0,failed
2022_03_21_11_03_05_58,-1,NA,0,failed
2022_03_21_11_03_05_66,-1,NA,0,failed
2022_03_21_11_03_05_75,-1,NA,0,failed
2022_03_21_11_03_05_83,-1,NA,0,failed
2022_03_21_11_03_05_91,-1,NA,0,failed
2022_03_21_11_03_06_00,-1,NA,0,failed
2022_03_21_11_03_06_08,-1,NA,0,failed
2022_03_21_11_03_06_16,-1,NA,0,failed
2022_03_21_11_03_06_25,-1,NA,0,failed
2022_03_21_11_03_06_33,-1,NA,0,failed
2022_03_21_11_03_06_42,-1,NA,0,failed
2022_03_21_11_03_06_50,-1,NA,0,failed
2022_03_21_11_03_06_59,-1,NA,0,failed
2022_03_21_11_03_06_67,-1,NA,0,failed
2022_03_21_11_03_06_75,-1,NA,0,failed
2022_03_21_11_03_06_84,-1,NA,0,failed
2022_03_21_11_03_06_92,-1,NA,0,failed
2022_03_21_11_03_07_08,-1,NA,0,failed
2022_03_21_11_03_07_22,-1,NA,0,failed
2022_03_21_11_03_07_28,-1,NA,0,failed
2022_03_21_11_03_07_35,-1,NA,0,failed
2022_03_21_11_03_07_42,-1,NA,0,failed
2022_03_21_11_03_07_51,-1,NA,0,failed
2022_03_21_11_03_07_59,-1,NA,0,failed
2022_03_21_11_03_07_67,-1,NA,0,failed
2022_03_21_11_03_07_76,-1,NA,0,failed
2022_03_21_11_03_07_85,-1,NA,0,failed
2022_03_21_11_03_08_10,-1,NA,0,failed
2022_03_21_11_03_08_22,-1,NA,0,failed
2022_03_21_11_03_08_29,-1,NA,0,failed
2022_03_21_11_03_08_36,-1,NA,0,failed
2022_03_21_11_03_08_43,-1,NA,0,failed
2022_03_21_11_03_08_50,-1,NA,0,failed
2022_03_21_11_03_08_67,-1,NA,0,failed
2022_03_21_11_03_08_92,-1,NA,0,failed
2022_03_21_11_03_09_01,-1,NA,0,failed
2022_03_21_11_03_09_09,-1,NA,0,failed
2022_03_21_11_03_09_17,-1,NA,0,failed
2022_03_21_11_03_09_35,-1,NA,0,failed
2022_03_21_11_03_09_43,-1,NA,0,failed
2022_03_21_11_03_09_51,-1,NA,0,failed
2022_03_21_11_03_09_60,-1,NA,0,failed
2022_03_21_11_03_09_68,-1,NA,0,failed
2022_03_21_11_03_09_85,-1,NA,0,failed
2022_03_21_11_03_09_93,-1,NA,0,failed
2022_03_21_11_03_10_01,-1,NA,0,failed
2022_03_21_11_03_10_10,-1,NA,0,failed
2022_03_21_11_03_10_18,-1,NA,0,failed
2022_03_21_11_03_10_26,-1,NA,0,failed
2022_03_21_11_03_10_35,-1,NA,0,failed
2022_03_21_11_03_10_43,-1,NA,0,failed
2022_03_21_11_03_10_58,-1,NA,0,failed
2022_03_21_11_03_10_65,-1,NA,0,failed
2022_03_21_11_03_10_71,-1,NA,0,failed
2022_03_21_11_03_10_78,-1,NA,0,failed
2022_03_21_11_03_10_85,-1,NA,0,failed
2022_03_21_11_03_11_01,-1,NA,0,failed
2022_03_21_11_03_11_09,-1,NA,0,failed
2022_03_21_11_03_11_18,-1,NA,0,failed
2022_03_21_11_03_11_35,-1,NA,0,failed
2022_03_21_11_03_11_51,-1,NA,0,failed
2022_03_21_11_03_11_60,-1,NA,0,failed
2022_03_21_11_03_11_68,-1,NA,0,failed
2022_03_21_11_03_11_77,-1,NA,0,failed
2022_03_21_11_03_11_85,-1,NA,0,failed
2022_03_21_11_03_11_93,-1,NA,0,failed
2022_03_21_11_03_12_02,-1,NA,0,failed
2022_03_21_11_03_12_11,-1,NA,0,failed
2022_03_21_11_03_12_19,-1,NA,0,failed
2022_03_21_11_03_12_27,-1,NA,0,failed
2022_03_21_11_03_12_36,-1,NA,0,failed
2022_03_21_11_03_12_44,-1,NA,0,failed
2022_03_21_11_03_12_52,-1,NA,0,failed
2022_03_21_11_03_12_74,-1,NA,0,failed
2022_03_21_11_03_12_80,-1,NA,0,failed
2022_03_21_11_03_12_88,-1,NA,0,failed
2022_03_21_11_03_12_97,-1,NA,0,failed
2022_03_21_11_03_13_05,-1,NA,0,failed
2022_03_21_11_03_13_13,-1,NA,0,failed
2022_03_21_11_03_13_22,-1,NA,0,failed
2022_03_21_11_03_13_30,-1,NA,0,failed
2022_03_21_11_03_13_47,-1,NA,0,failed
2022_03_21_11_03_13_55,-1,NA,0,failed
2022_03_21_11_03_13_63,-1,NA,0,failed
2022_03_21_11_03_13_70,-1,NA,0,failed
2022_03_21_11_03_13_79,-1,NA,0,failed
2022_03_21_11_03_15_30,-1,NA,0,failed
2022_03_21_11_03_21_99,-1,NA,0,failed
2022_03_21_11_03_23_67,-1,NA,0,failed
2022_03_21_11_03_25_34,-1,NA,0,failed
2022_03_21_11_03_27_01,-1,NA,0,failed
2022_03_21_11_03_28_69,-1,NA,0,failed
2022_03_21_11_03_30_36,-1,NA,0,failed
2022_03_21_11_03_32_03,-1,NA,0,failed
2022_03_21_11_03_33_71,-1,NA,0,failed
2022_03_21_11_03_35_38,-1,NA,0,failed
2022_03_21_11_03_37_06,-1,NA,0,failed
2022_03_21_11_03_38_73,-1,NA,0,failed
2022_03_21_11_03_40_40,-1,NA,0,failed
2022_03_21_11_03_42_08,-1,NA,0,failed
2022_03_21_11_03_43_75,-1,NA,0,failed
2022_03_21_11_03_45_42,-1,NA,0,failed
2022_03_21_11_03_48_77,-1,NA,0,failed
2022_03_21_11_03_50_44,-1,NA,0,failed
2022_03_21_11_03_52_12,-1,NA,0,failed
2022_03_21_11_03_53_80,-1,NA,0,failed
2022_03_21_11_03_57_14,-1,NA,0,failed
2022_03_21_11_03_58_82,-1,NA,0,failed
2022_03_21_11_04_00_49,-1,NA,0,failed
2022_03_21_11_04_02_16,-1,NA,0,failed
2022_03_21_11_04_03_83,-1,NA,0,failed
2022_03_21_11_04_07_18,-1,NA,0,failed
2022_03_21_11_04_08_86,-1,NA,0,failed
2022_03_21_11_04_12_21,-1,NA,0,failed
2022_03_21_11_04_13_88,-1,NA,0,failed
2022_03_21_11_04_15_55,-1,NA,0,failed
2022_03_21_11_04_17_23,-1,NA,0,failed
2022_03_21_11_04_18_90,-1,NA,0,failed
2022_03_21_11_04_20_57,-1,NA,0,failed
2022_03_21_11_04_22_25,-1,NA,0,failed
2022_03_21_11_04_23_92,-1,NA,0,failed
2022_03_21_11_04_27_27,-1,NA,0,failed
2022_03_21_11_04_28_94,-1,NA,0,failed
2022_03_21_11_04_30_62,-1,NA,0,failed
2022_03_21_11_04_33_96,-1,NA,0,failed
2022_03_21_11_04_35_64,-1,NA,0,failed
2022_03_21_11_04_37_31,-1,NA,0,failed
2022_03_21_11_04_38_98,-1,NA,0,failed
2022_03_21_11_04_40_66,-1,NA,0,failed
2022_03_21_11_04_42_34,-1,NA,0,failed
2022_03_21_11_04_44_01,-1,NA,0,failed
2022_03_21_11_04_45_68,-1,NA,0,failed
2022_03_21_11_04_47_35,-1,NA,0,failed
2022_03_21_11_04_49_03,-1,NA,0,failed
2022_03_21_11_04_50_70,-1,NA,0,failed
2022_03_21_11_04_54_05,-1,NA,0,failed
2022_03_21_11_04_55_72,-1,NA,0,failed
2022_03_21_11_04_57_40,-1,NA,0,failed
2022_03_21_11_04_59_07,-1,NA,0,failed
2022_03_21_11_05_00_75,-1,NA,0,failed
2022_03_21_11_05_02_42,-1,NA,0,failed
2022_03_21_11_05_05_77,-1,NA,0,failed
